,#songs query,songs
81,15,"[u'Stevie Wonder- Superstition', u'Lil Jon- Get Low', u'Grouplove- Lovely Cup', u'Jaheim- Just In Case', u'Wisin Y Yandel- Estoy Enamorado', u'Mnemic- Liquid', u'Rizzle Kicks- Stop With The Chatter', u'Dio- One Night In The City', u'White Lion- Radar Love', u""Roger Whittaker- I Don't Believe in If Anymore""]"
82,15,"[u'John Mayer- Neon', u'Alligatoah- Prostitution', u""Mondo Marcio- Nessuna Via D'Uscita"", u""Ministry- Let's Go"", u'will.i.am- Smile Mona Lisa', u'One-T- The Magic Key', u""Hilltop Hoods- Now You're Gone"", u'Aim- The Force', u'Autechre- Arch Carrier', u'Nurses- Trying To Reach You']"
83,15,"[u'Gin Wigmore- Man Like That', u'Flipsyde- Laserbeam', u'Roy Hargrove- Strasbourg / St. Denis', u'Blackstreet- Girlfriend/Boyfriend', u""Random Rab- Elixer's Burden"", u'Wences Romo- Hombre De Hojalata', u'James Baskett- Zip-A-Dee-Doo-Dah', u'Janet Jackson- Feels So Right', u'Royce da 5\'9""- My Own Planet', u'Conan- Krull']"
84,15,"[u'The Chemical Brothers- Galvanize (Album Version)', u'Eric Church- Springsteen', u'Train- Mermaid', u'Train- Mermaid', u'Terry Jacks- Seasons In The Sun', u'Jay-Z- Change Clothes', u'Victory- Play It', u'Salvatore Adamo- Tombe La Neige', u""Bobby Womack- Nobody Wants You When You're Down And Out"", u'All Sons & Daughters- Oh How I Need You']"
85,15,"[u'Depeche Mode- Precious', u'ZZ Ward- Put The Gun Down', u'Delorean- Spirit', u'tobyMac- Steal My Show (Lyrics)', u'Glee Cast- All You Need Is Love (Glee Cast Version)', u'Attila- Unforgivable', u'Howard Jones- Everlasting Love', u'Alestorm- Swashbuckled', u'Shulman- Mia Nihta Mono Den Ftani', u'R. Kelly- Trapped In The Closet Chapter 17']"
86,15,"[u'Massive Attack- Butterfly Caught', u'Frank Sinatra- Love And Marriage', u'The Rasmus- In The Shadows (US Version)', u'The Dells- Oh What A Night', u'Chris Young- Lonely Eyes', u'Boy- Railway', u'Keith Urban- I Told You So', u'Florin Salam- Am Norocul Scris In Frunte', u'Lusine- Get the Message', u'Tex Ritter- Deck Of Cards']"
87,15,"[u'The Kills- Damned If She Do', u'The Limousines- Bedbugs', u'Thees Uhlmann- Im Sommer nach dem Krieg', u'Margaux Avril- Lunatique', u'Nina Nesbitt- Seesaw', u'Dreadzone- American Dread', u""Brothertiger- I've Been Waiting"", u'Mendez- Razor Tongue', u'Mokoomba- Nimukonda', u'Dead By Sunrise- Inside Of Me']"
88,15,"[u'Breaking Benjamin- I Will Not Bow', u'Agalloch- Our Fortress Is Burning... I', u'Asa- Fire on the Mountain', u'Hevia- Busindre Reel', u'Pink Floyd- Mudmen (2011 - Remaster)', u'Tristania- Angina', u'PJ & Duncan- Let\u2019s Get Ready To Rhumble', u""Panic! At the Disco- Folkin' Around"", u'Y\u0131ld\u0131z Tilbe- Bir Benim Ol', u'Laura Pausini- Gente']"
89,15,"[u'Roc\xedo D\xfarcal- Como Tu Mujer', u'Down With Webster- Your Man', u'Miguel Bos\xe9- Aire soy (feat. Ximena Sari\xf1ana)', u'Christina Milian- When You Look At Me', u'Tricky- For Real', u'Philip Selway- Beyond Reason', u'The Chemical Brothers- Music : Response', u'The Oscillation- Liquid Memoryman', u'N\xe2diya- Si Loin De Vous', u""Mr. Probz- I'm Right Here""]"
90,15,"[u'Justin Bieber- Boyfriend', u'Sub Focus- Torus', u'Perfume- 1mm', u'Edison Lighthouse- Love Grows (Where My Rosemary Goes)', u'Samantha Mumba- Gotta Tell You', u'Poli\xe7a- Dark Star', u'Chunk! No, Captain Chunk!- Taking Chances', u'The Carter Family- Wildwood Flower', u'Turmion K\xe4til\xf6t- Nimi Kivess\xe4', u""*NSync- Tearin' Up My Heart""]"
91,15,"[u""Raphael Saadiq- Let's Take A Walk"", u'Enigma- T.N.T. For The Brain.', u'Caf\xe9 Tacuba- El baile y el sal\xf3n', u'Bersuit Vergarabat- Esperando El Impacto', u'Billy Joel- All About Soul', u'Trentem\xf8ller- Tide (Efterklang Remix)', u'Jarvis Cocker- Slush', u'Trentem\xf8ller- Tide', u'Happoradio- Pois Kalliosta', u'Sanctus Real- Nothing Between']"
92,15,"[u'Bruno Mars- Natalie', u'Mayer Hawthorne- The Walk (Explicit)', u'Gwen Stefani- Early Winter', u'Enrique Iglesias- Experiencia Religiosa', u'Boards of Canada- Seven Forty Seven', u'The War On Drugs- Brothers', u'Liz Phair- Extraordinary', u'Joe- Worst Case Scenario', u'Luis Eduardo Aute- Al Alba', u'Craft Spells- Ramona']"
93,15,"[u""Damien Rice- The Blower's Daughter"", u'The Black Eyed Peas- Shut Up', u""Fergie- BIG GIRLS DON'T CRY"", u'Bill Callahan- Too Many Birds', u'Elvis Presley- Tutti Frutti (Remastered Version)', u'SebastiAn- Arabest', u'The Digital Age- God Of Us All', u'Kyle Park- Fit For The King', u'Groundation- Payaka Way', u'Carimi- We the Best']"
94,15,"[u'Incubus- Talk Shows On Mute', u'Ivete Sangalo- Dan\xe7ando', u'BLOUSE- Into Black', u'Lemaitre- 1:18', u'Bad Brains- I Against I', u""Augustana- I Still Ain't Over You"", u'Brazilian Girls- Lazy Lover', u'In Flames- Pinball Map', u'Bodi Bill- The Net', u'Hacride- Edification Of The Fall']"
95,15,"[u'Blondie- Heart Of Glass', u'Wolf Gang- The King and All Of His Men', u'Plastilina Mosh- Nalguita', u'Julia Holter- Horns Surrounding Me', u'Like Moths To Flames- The Worst In Me', u'Atlas Genius- Electric', u'Elvis vs JXL- A Little Less Conversation', u'Charlene Kaye- Dress and Tie (feat. Darren Criss)', u'Aes Dana- Snoflinga', u'Four Tet- Reversing']"
96,15,"[u'Aphex Twin- Xtal', u'Oh Land- Kill My Darling', u'Laura Pausini- Se fu\xe8', u'Carina Round- Do You', u'Big Daddy Weave- The Only Name (Yours Will Be)', u'Rufus Thomas- Walking the Dog', u'Lady Gaga- Heavy Metal Lover', u""Wild Nothing- This Chain Won't Break"", u'Telefon Tel Aviv- Sound In A Dark Room', u'Leonard Cohen- Alexandra Leaving']"
97,15,"[u'Mika- Lola', u'Celtic Woman- Orinoco Flow', u'Matt Nathanson- Birthday Girl', u""The Whispers- Keep On Lovin' Me"", u'Chromatics- I Want Your Love', u'Jazzanova- I Human feat. Paul Randolph', u'Mylo- Zenophile', u""Skyy- Let's Celebrate"", u'Al Jolson- My Mammy', u'Manau- Le dragueur']"
98,15,"[u'Kelis- Milkshake', u'Nelly Furtado- Spirit Indestructible', u'Milky Chance- Flashed Junk Mind', u'Juan Luis Guerra- En El Cielo No Hay Hospital', u'In-Grid- Vive Le Swing', u'Little Boots- Confusion', u'The Dandy Warhols- Every Day Should Be A Holiday', u'Thievery Corporation- Shadows of Ourselves', u'Sam Sparro- I Wish I Never Met You', u'Martin Solveig- Rocking Music']"
99,15,"[u'Britney Spears- Gimme More', u'Zaz- Comme ci, comme \xe7a', u'Rosana- A Fuego Lento', u'Tina Arena- Je M-appelle Bagdad', u""World's End Press- Reformation Age"", u'Kollektiv Turmstrasse- Schwindelig (Wanderlust Rhodes Remix)', u'Utada- Devil Inside', u'Antonello Venditti- 21 Modi Per Dirti Ti Amo', u'Kitty, Daisy and Lewis- I Got My Mojo Working', u""Son Of Dave- Ain't Nothin But The Blues""]"
